language,word,value
DE,verliebt,0.81
DE,peace,0.78
DE,frieden,0.77
DE,humor,0.76
DE,liebe,0.76
DE,wunderschöne,0.76
DE,glück,0.76
DE,wunderschönen,0.76
DE,freunde,0.76
DE,holiday,0.76
DE,freiheit,0.75
DE,lachen,0.74
DE,lieben,0.74
DE,urlaub,0.74
DE,perfekt,0.74
DE,glücklich,0.74
DE,wunderschön,0.73
DE,wunderbar,0.73
DE,love,0.73
DE,paradise,0.73
DE,freude,0.73
DE,weihnachtsfest,0.73
DE,sunshine,0.73
DE,kiss,0.72
DE,freundschaft,0.72
DE,schönheit,0.72
DE,schönste,0.72
DE,gesund,0.72
DE,spaß,0.72
DE,loves,0.72
DE,freund,0.72
DE,weihnachtszeit,0.71
DE,wonderful,0.71
DE,super,0.71
DE,happy,0.71
DE,freuen,0.71
DE,weihnachten,0.71
DE,liebes,0.7
DE,geburtstag,0.7
DE,glückwunsch,0.7
DE,liebt,0.7
DE,geschenke,0.7
DE,spass,0.7
DE,herrlich,0.7
DE,gewinner,0.7
DE,herzlich,0.7
DE,kisses,0.7
DE,happiness,0.69
DE,herz,0.69
DE,sun,0.69
DE,loving,0.69
DE,weihnachtsgeschenke,0.69
DE,christmas,0.69
DE,heiligabend,0.69
DE,erfolg,0.68
DE,kuscheln,0.68
DE,schokolade,0.68
DE,lecker,0.68
DE,reisen,0.68
DE,weihnachtsstimmung,0.68
DE,schön,0.68
DE,sommer,0.68
DE,ferien,0.68
DE,positiv,0.68
DE,sonne,0.68
DE,harmonie,0.68
DE,positive,0.68
DE,lächeln,0.68
DE,ausgezeichnet,0.67
DE,blumen,0.67
DE,witzig,0.67
DE,friends,0.67
DE,holidays,0.66
DE,familie,0.66
DE,herzlichen,0.66
DE,natur,0.66
DE,smile,0.66
DE,joy,0.66
DE,toll,0.66
DE,bester,0.66
DE,feierabend,0.66
DE,schönes,0.66
DE,kuchen,0.66
DE,traum,0.66
DE,laughing,0.65
DE,genial,0.65
DE,hübsch,0.65
DE,vertrauen,0.65
DE,freizeit,0.65
DE,genuss,0.65
DE,fröhliche,0.65
DE,begeisterung,0.65
DE,darling,0.65
DE,freue,0.65
DE,birthday,0.65
DE,leidenschaft,0.65
DE,gewinnen,0.65
DE,geschenk,0.65
DE,heimat,0.65
DE,delicious,0.65
DE,herzen,0.65
DE,weihnachtsmann,0.65
DE,gesundes,0.65
DE,fantastic,0.65
DE,gewinn,0.64
DE,loved,0.64
DE,weihnachtsgeschenk,0.64
DE,träumen,0.64
DE,winner,0.64
DE,feiertage,0.64
DE,oma,0.64
DE,weihnachtsmarkt,0.64
DE,lustige,0.64
DE,dankeschön,0.64
DE,wochenende,0.64
DE,lovely,0.64
DE,wahrheit,0.64
DE,smiles,0.64
DE,beautiful,0.64
DE,tolles,0.64
DE,feiern,0.64
DE,gerechtigkeit,0.64
DE,lustig,0.64
DE,erfolgreich,0.64
DE,schatz,0.64
DE,great,0.64
DE,süße,0.64
DE,weihnacht,0.64
DE,fun,0.64
DE,zufrieden,0.64
DE,hochzeit,0.64
DE,ferienhaus,0.64
DE,süß,0.64
DE,juhu,0.64
DE,party,0.64
DE,lach,0.63
DE,funny,0.63
DE,family,0.63
DE,geschenkeâ€,0.63
DE,prima,0.63
DE,success,0.63
DE,genießen,0.63
DE,welcome,0.63
DE,hahahaha,0.63
DE,beauty,0.63
DE,wellness,0.63
DE,gesundheit,0.63
DE,strand,0.63
DE,frohes,0.63
DE,gut,0.62
DE,bestanden,0.62
DE,liebsten,0.62
DE,wunder,0.62
DE,frei,0.62
DE,freunden,0.62
DE,höhepunkt,0.62
DE,froh,0.62
DE,pretty,0.62
DE,summer,0.62
DE,treue,0.62
DE,schenken,0.62
DE,gewonnen,0.62
DE,freundin,0.62
DE,schönsten,0.62
DE,schönen,0.61
DE,weekend,0.61
DE,music,0.61
DE,adorable,0.61
DE,gerettet,0.61
DE,nice,0.61
DE,friend,0.61
DE,lob,0.61
DE,beste,0.61
DE,engel,0.61
DE,friedens,0.61
DE,perfect,0.61
DE,lieb,0.61
DE,good,0.61
DE,unabhängigkeit,0.61
DE,träume,0.61
DE,partnerschaft,0.61
DE,beliebt,0.61
DE,sweet,0.61
DE,gewinne,0.61
DE,erfolge,0.61
DE,fair,0.6
DE,hahaha,0.6
DE,adventskalender,0.6
DE,kostenlos,0.6
DE,gold,0.6
DE,befreiung,0.6
DE,amor,0.6
DE,lucky,0.6
DE,chocolate,0.6
DE,treu,0.6
DE,perfekte,0.6
DE,sieg,0.6
DE,hoffnung,0.6
DE,dank,0.6
DE,amazing,0.6
DE,romantik,0.6
DE,herzens,0.6
DE,beliebte,0.6
DE,ehrlich,0.6
DE,schnäppchen,0.6
DE,sweetest,0.6
DE,dreams,0.6
DE,freu,0.6
DE,danke,0.6
DE,weihnachtsbaum,0.6
DE,witz,0.6
DE,kekse,0.6
DE,besten,0.6
DE,papa,0.6
DE,gesunde,0.6
DE,heaven,0.6
DE,mutter,0.6
DE,richtig,0.6
DE,enjoy,0.6
DE,ideal,0.59
DE,musik,0.59
DE,gerne,0.59
DE,geburt,0.59
DE,nette,0.59
DE,smileys,0.59
DE,gorgeous,0.59
DE,sexy,0.59
DE,laugh,0.59
DE,gutes,0.59
DE,luck,0.59
DE,pizza,0.59
DE,belohnung,0.59
DE,sterne,0.59
DE,vollkommenheit,0.59
DE,willkommen,0.59
DE,süßen,0.59
DE,familien,0.59
DE,befreien,0.59
DE,gewonnenen,0.58
DE,begeistert,0.58
DE,leben,0.58
DE,comedy,0.58
DE,eltern,0.58
DE,befreit,0.58
DE,beliebteste,0.58
DE,geschenkt,0.58
DE,schöner,0.58
DE,gute,0.58
DE,mother,0.58
DE,feuerwerk,0.58
DE,hobby,0.58
DE,hearts,0.58
DE,hope,0.58
DE,welpen,0.58
DE,naturschutz,0.58
DE,free,0.58
DE,phantasie,0.58
DE,mama,0.58
DE,plätzchen,0.58
DE,cool,0.57
DE,spielen,0.57
DE,kostenfrei,0.57
DE,awesome,0.57
DE,reise,0.57
DE,konzert,0.57
DE,licht,0.57
DE,toller,0.57
DE,greatest,0.57
DE,schöne,0.57
DE,hahahahaha,0.57
DE,kunst,0.57
DE,meer,0.57
DE,intelligenz,0.57
DE,heiraten,0.57
DE,like,0.57
DE,hihihi,0.57
DE,anerkennung,0.57
DE,kostenlosen,0.57
DE,heart,0.57
DE,früchte,0.57
DE,dream,0.57
DE,inspiration,0.57
DE,chillen,0.57
DE,talent,0.57
DE,zuhause,0.57
DE,x-mas,0.57
DE,xmas,0.56
DE,nett,0.56
DE,mom,0.56
DE,vacation,0.56
DE,ideen,0.56
DE,girlfriend,0.56
DE,einladung,0.56
DE,ferienwohnungen,0.56
DE,reichtum,0.56
DE,freut,0.56
DE,thanks,0.56
DE,sonderangebote,0.56
DE,win,0.56
DE,gewann,0.56
DE,weihnachtsfeier,0.56
DE,best,0.56
DE,massage,0.56
DE,warm,0.56
DE,feier,0.56
DE,advent,0.56
DE,frisch,0.56
DE,frohe,0.56
DE,hochwertige,0.56
DE,positiven,0.56
DE,himmel,0.56
DE,wärme,0.56
DE,mädels,0.56
DE,retten,0.56
DE,opa,0.56
DE,panorama,0.56
DE,vollkommen,0.55
DE,lust,0.55
DE,fein,0.55
DE,mut,0.55
DE,chance,0.55
DE,feiert,0.55
DE,gutschein,0.55
DE,güte,0.55
DE,honey,0.55
DE,bedankt,0.55
DE,gewinnt,0.55
DE,fortschritt,0.55
DE,hug,0.55
DE,joke,0.55
DE,idee,0.55
DE,respect,0.55
DE,ferienwohnung,0.55
DE,highlights,0.55
DE,silvester,0.55
DE,erfüllung,0.55
DE,respekt,0.55
DE,celebrate,0.55
DE,truth,0.55
DE,eis,0.54
DE,christkind,0.54
DE,nature,0.54
DE,fliegen,0.54
DE,inseln,0.54
DE,tanzen,0.54
DE,demokratie,0.54
DE,kindheit,0.54
DE,abenteuer,0.54
DE,hugs,0.54
DE,spiele,0.54
DE,breakfast,0.54
DE,hahah,0.54
DE,bücher,0.54
DE,gesunden,0.54
DE,balkon,0.54
DE,tolle,0.54
DE,tanz,0.54
DE,erfolgreiche,0.54
DE,sport,0.54
DE,sex,0.54
DE,baum,0.54
DE,gratis,0.54
DE,health,0.54
DE,kostenloser,0.53
DE,spannend,0.53
DE,friday,0.53
DE,greetings,0.53
DE,glühwein,0.53
DE,fitness,0.53
DE,held,0.53
DE,cute,0.53
DE,schwester,0.53
DE,chancen,0.53
DE,kinder,0.53
DE,rose,0.53
DE,beziehung,0.53
DE,unterhaltung,0.53
DE,besserung,0.53
DE,frühstück,0.53
DE,flug,0.53
DE,spiel,0.53
DE,berührung,0.53
DE,musiker,0.53
DE,children,0.53
DE,festival,0.53
DE,klarheit,0.53
DE,bescherung,0.53
DE,sweetie,0.53
DE,daheim,0.53
DE,bildung,0.53
DE,date,0.53
DE,home,0.53
DE,clever,0.53
DE,kostenloses,0.53
DE,optimal,0.53
DE,freundesliste,0.52
DE,wald,0.52
DE,baby,0.52
DE,qualität,0.52
DE,feelings,0.52
DE,merci,0.52
DE,katze,0.52
DE,zukunft,0.52
DE,tochter,0.52
DE,menschlicher,0.52
DE,yeah,0.52
DE,stern,0.52
DE,vielfalt,0.52
DE,bonus,0.52
DE,lebendig,0.52
DE,überraschung,0.52
DE,wünsche,0.52
DE,gefühle,0.52
DE,hallo,0.52
DE,dear,0.52
DE,park,0.52
DE,nikolaus,0.52
DE,gerecht,0.52
DE,jaaaa,0.52
DE,künstlerischen,0.52
DE,quality,0.52
DE,motivation,0.52
DE,schmuck,0.52
DE,interesting,0.52
DE,vertraut,0.52
DE,partner,0.52
DE,solidarität,0.52
DE,künstlerische,0.52
DE,stärke,0.52
DE,innovation,0.52
DE,easy,0.52
DE,wasser,0.52
DE,lol,0.52
DE,beach,0.52
DE,fortschritte,0.52
DE,erinnerungen,0.52
DE,alive,0.52
DE,ja,0.52
DE,wow,0.52
DE,kino,0.52
DE,kultur,0.52
DE,hoffnungen,0.52
DE,vorteile,0.52
DE,schlaf,0.52
DE,zusammenarbeit,0.52
DE,vollendung,0.52
DE,ferienhäuser,0.52
DE,weisheit,0.51
DE,spitze,0.51
DE,erfolgreiches,0.51
DE,farben,0.51
DE,favoriten,0.51
DE,prost,0.51
DE,talented,0.51
DE,champions,0.51
DE,malerei,0.51
DE,gehalt,0.51
DE,teddy,0.51
DE,lieber,0.51
DE,garten,0.51
DE,vorbild,0.51
DE,frauen,0.51
DE,magic,0.51
DE,famous,0.51
DE,besser,0.51
DE,fit,0.51
DE,schlafzimmer,0.51
DE,frühjahr,0.51
DE,fresh,0.51
DE,lösung,0.51
DE,child,0.51
DE,interessant,0.51
DE,guten,0.51
DE,mädchen,0.51
DE,kostenlose,0.51
DE,künstler,0.51
DE,entertainment,0.51
DE,dad,0.51
DE,strahlen,0.51
DE,concert,0.51
DE,parents,0.51
DE,verbesserung,0.51
DE,feeling,0.51
DE,cafÃ©,0.51
DE,bruder,0.51
DE,cafe,0.5
DE,neujahr,0.5
DE,dancing,0.5
DE,energy,0.5
DE,wunsch,0.5
DE,photography,0.5
DE,spanien,0.5
DE,schwangerschaft,0.5
DE,gifts,0.5
DE,günstig,0.5
DE,gern,0.5
DE,frau,0.5
DE,gefühl,0.5
DE,verbessern,0.5
DE,erster,0.5
DE,anerkennen,0.5
DE,helfen,0.5
DE,verschenken,0.5
DE,sehenswürdigkeiten,0.5
DE,sauber,0.5
DE,erlebnis,0.5
DE,hilfreich,0.5
DE,favorite,0.5
DE,unabhängig,0.5
DE,horizont,0.5
DE,küste,0.5
DE,bravo,0.5
DE,wünschen,0.5
DE,disney,0.5
DE,zustimmung,0.5
DE,schwimmen,0.5
DE,individualität,0.49
DE,gebildet,0.49
DE,woman,0.49
DE,sicherheit,0.49
DE,jugend,0.49
DE,richtige,0.49
DE,thank,0.49
DE,girl,0.49
DE,girls,0.49
DE,wissen,0.49
DE,lebendige,0.49
DE,verdienst,0.49
DE,gefällt,0.49
DE,premium,0.49
DE,erfindung,0.49
DE,erleichtert,0.49
DE,landschaft,0.49
DE,menschliche,0.49
DE,geschafft,0.49
DE,ausgehen,0.49
DE,ideale,0.49
DE,film,0.49
DE,verstand,0.49
DE,schlafen,0.49
DE,muchlove,0.49
DE,wein,0.49
DE,haustiere,0.49
DE,gutem,0.49
DE,schmecken,0.49
DE,idea,0.49
DE,gedicht,0.49
